id_product,product_name,description
82,Aerie Boybrief,"It all started with a boybrief: our original fit! It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-1499 | color: 030 Comfy, stretchy cotton Aerie undies: your panty drawer just got REAL! Everyday Loves Collection Binding at waist and leg openings We call them favorites for a reason Low rise 93% Cotton, 7% Spandex Machine Wash Imported read more read less"
83,Aerie Logo Bikini,"We're loco for logos! The soft and comfy cotton you love in the peek-of-cheek fit you go to. style: 0442-5585 | color: 536 Comfy, stretchy cotton Logo elastic waistband Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
84,Aerie Bikini,"A peek of cheek. A lot of WOW. The soft and comfy cotton you love in the fit you go to. style: 3441-5404 | color: 536 Comfy, stretchy cotton V-back detail Aerie undies: Your panty drawer just got REAL. Low rise A peek of cheek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
85,Aerie Cheeky,"More cheek peek. A lot of WOW! The soft and comfy cotton you love in the cheeky fit you go to. style: 7442-5445 | color: 092 Comfy cotton Low rise More cheek peek Wide lace waistband Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
86,Aerie Boybrief,"It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5124 | color: 012 Comfy stretchy cotton Low rise No cheek peek Binding details We call them favorites for a reason Aerie undies: your panty drawer just got REAL! Everyday Loves Collection 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
87,Aerie Shine Thong + Boho Lace,"Shine on. Peace, love & lace. style: 5772-6106 | color: 125 SMOOTH shine fabric + boho lace waistband Better together: pair with a boho bralette! Low rise Total cheek! 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
88,Aerie Logo Boybrief,"Better than the boys’… It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5100 | color: 410 Comfy, stretchy cotton Signature logo waistband We call them favorites for a reason Undies: the REAL way to say panties. Low rise 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
89,Aerie Boybrief,"Our #1 fit. The soft and comfy cotton you love in the fit you go to. style: 6443-5402 | color: 030 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. V-back detail Low rise No cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
90,Aerie Boybrief,"Better than the boys’… It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5336 | color: 536 Comfy, stretchy cotton Signature logo waistband We call them favorites for a reason Undies: the REAL way to say panties. Low rise 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
91,Aerie Everyday Loves Lace Bikini,"Introducing Everyday Loves™: Made with love. Everyday, loves: Listen to your heart. Get comfy. Be Happy. Your go-to fave has just a peek of cheek & a whole lot of WOW. style: 5775-5972 | color: 073 Comfy, stretchy cotton Soft lace with the right amount of stretch Aerie undies: your panty drawer just got REAL! Low rise 97% Nylon, 3% Spandex Machine Wash Imported read more read less"
92,Aerie Cheeky,"More cheek peek. A lot of WOW! The soft and comfy cotton you love in the cheeky fit you go to. style: 7442-5436 | color: 437 Comfy cotton Low rise More cheek peek Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
