id_product,product_name,description
315,Bride Signature Lace Cheeky Hipster,"You're only a bride for so long--make it count! Show off your status on a sheer lace hipster panty bearing sparkly, flirty cursive."
316,Nude Illusion Crotchless Bikini,Spice things up with Nude Illusion.
317,Peep Show Cheeky Hipster,Tease with tantalizing peeks.
318,Naughty & Nice Box 2 Pack Thongs,"Sugar, spice and everything oh-so-naughty & nice. Inside the saucy gift box are two of our most sought-out styles for you to enjoy: A Low Rise Thong and a Crotchless Thong with a scintillating opening that leaves little to the imagination. Time to pack in the pleasure! "
319,Camo Long Sleeve Top,Go incognito.
320,Canada 3 Pack Low Rise Thongs,"A coordinating three pack of our Low Rise Thongs, perfect for gifting!"
321,40th Anniversary Hanky Cami,"Styles inspired by Gale Epstein's original handkerchief lingerie designs from 1977, expertly crafted in New York from vintage hand-embroidered handkerchiefs."
322,40th Anniversary Hanky Low Rise Thong,"Styles inpsired by Gale Esptein's original handkerchief lingerie designs from 1977, expertly crafted in New York from vintage hand-embroidered handkerchiefs."
323,Sophisticat Original Rise Thong,The Essential Leopard Print
324,Lace Up Brazilian Bikini,All tied up.
